# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-02-19 12:30:17 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09085100 COLORADO RIVER BELOW GLENWOOD SPRINGS, CO
# -----------------------------------------------------------------------------------
#
# Data provided for site 09085100
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#    06   00010     00001     Temperature, water, degrees Celsius (Maximum)
#    06   00010     00002     Temperature, water, degrees Celsius (Minimum)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd	06_00010_00001	06_00010_00001_cd	06_00010_00002	06_00010_00002_cd
USGS	09085100	1980-02-17	1820	A	3.6	A	2.7	A
USGS	09085100	1980-02-18	1820	A	3.3	A	2.9	A
USGS	09085100	1980-02-19	2050	A	4.2	A	3.0	A
USGS	09085100	1980-02-20	1850	A	3.9	A	2.6	A
USGS	09085100	1980-02-21	1840	A	4.2	A	2.6	A
USGS	09085100	1980-02-22	1820	A	4.6	A	3.4	A
USGS	09085100	1980-02-23	1790	A	3.6	A	2.6	A
USGS	09085100	1980-02-24	1740	A	4.4	A	2.3	A
USGS	09085100	1980-02-25	1650	A	3.7	A	1.4	A
USGS	09085100	1980-02-26	1650	A	3.8	A	1.4	A
USGS	09085100	1980-02-27	1680	A	4.4	A	2.1	A
USGS	09085100	1980-02-28	1700	A	4.9	A	2.7	A
USGS	09085100	1980-02-29	1740	A	5.0	A	3.5	A
USGS	09085100	1980-03-01	1710	A	5.0	A	3.0	A
USGS	09085100	1980-03-02	1680	A	4.5	A	2.5	A
USGS	09085100	1980-03-03	1710	A	4.5	A	3.5	A
USGS	09085100	1980-03-04	1740	A	5.0	A	3.0	A
USGS	09085100	1980-03-05	1720	A	5.5	A	3.5	A
USGS	09085100	1980-03-06	1740	A	5.5	A	4.0	A
USGS	09085100	1980-03-07	1780	A	4.0	A	3.0	A
USGS	09085100	1980-03-08	1740	A	5.5	A	3.5	A
USGS	09085100	1980-03-09	1700	A	5.5	A	0.0	A
USGS	09085100	1980-03-10	1640	A	6.0	A	0.0	A
USGS	09085100	1980-03-11	1650	A	5.5	A	1.5	A
USGS	09085100	1980-03-12	1680	A	5.0	A	3.5	A
USGS	09085100	1980-03-13	1600	A	5.5	A	3.0	A
USGS	09085100	1980-03-14	1610	A	6.5	A	3.0	A
USGS	09085100	1980-03-15	1650	A	5.5	A	4.5	A
USGS	09085100	1980-03-16	1700	A	5.5	A	3.0	A
USGS	09085100	1980-03-17	1600	A	5.0	A	2.0	A
USGS	09085100	1980-03-18	1570	A	5.5	A	2.0	A
USGS	09085100	1980-03-19	1640	A	7.0	A	3.5	A
USGS	09085100	1980-03-20	1650	A	7.0	A	4.0	A
USGS	09085100	1980-03-21	1680	A	7.0	A	4.5	A
USGS	09085100	1980-03-22	1740	A	7.5	A	5.5	A
USGS	09085100	1980-03-23	1750	A	7.0	A	5.5	A
USGS	09085100	1980-03-24	1700	A	7.0	A	4.5	A
USGS	09085100	1980-03-25	1740	A	6.5	A	5.0	A
USGS	09085100	1980-03-26	1710	A	7.0	A	4.5	A
USGS	09085100	1980-03-27	1730	A	6.5	A	4.0	A
USGS	09085100	1980-03-28	1770	A	5.5	A	4.0	A
USGS	09085100	1980-03-29	1740	A	5.5	A	3.5	A
USGS	09085100	1980-03-30	1720	A	5.0	A	3.0	A
USGS	09085100	1980-03-31	1810	A	3.5	A	2.5	A
USGS	09085100	1980-04-01	1680	A	6.0	A	2.0	A
USGS	09085100	1980-04-02	1750	A	5.5	A	4.5	A
USGS	09085100	1980-04-03	1670	A	7.0	A	4.0	A
USGS	09085100	1980-04-04	1680	A	8.5	A	5.5	A
USGS	09085100	1980-04-05	1690	A	8.0	A	6.5	A
USGS	09085100	1980-04-06	1740	A	8.5	A	7.0	A
USGS	09085100	1980-04-07	1760	A	7.0	A	5.5	A
USGS	09085100	1980-04-08	1670	A	7.5	A	4.0	A
USGS	09085100	1980-04-09	1640	A	8.5	A	5.0	A
USGS	09085100	1980-04-10	1700	A	9.0	A	7.0	A
USGS	09085100	1980-04-11	1730	A	7.5	A	6.0	A
USGS	09085100	1980-04-12	1680	A	8.0	A	5.0	A
USGS	09085100	1980-04-13	1650	A	8.5	A	5.5	A
USGS	09085100	1980-04-14	1730	A	9.5	A	6.0	A
USGS	09085100	1980-04-15	1750	A	10.5	A	7.0	A
USGS	09085100	1980-04-16	1980	A	10.5	A	7.5	A
USGS	09085100	1980-04-17	1970	A	11.0	A	7.5	A
USGS	09085100	1980-04-18	2150	A	11.0	A	7.5	A
USGS	09085100	1980-04-19	2380	A	11.0	A	8.0	A
USGS	09085100	1980-04-20	2710	A	11.0	A	8.5	A
USGS	09085100	1980-04-21	3030	A	11.0	A	8.5	A
USGS	09085100	1980-04-22	3530	A	10.0	A	8.5	A
USGS	09085100	1980-04-23	3820	A	9.5	A	7.5	A
USGS	09085100	1980-04-24	3950	A	8.0	A	7.0	A
USGS	09085100	1980-04-25	3800	A	9.0	A	5.5	A
USGS	09085100	1980-04-26	3980	A	9.0	A	7.0	A
USGS	09085100	1980-04-27	4050	A	9.5	A	6.5	A
USGS	09085100	1980-04-28	4230	A	9.5	A	7.0	A
USGS	09085100	1980-04-29	4570	A	9.0	A	7.0	A
USGS	09085100	1980-04-30	4980	A	9.0	A	7.5	A
USGS	09085100	1980-05-01	5130	A	8.5	A	7.0	A
USGS	09085100	1980-05-02	5020	A	9.0	A	7.0	A
USGS	09085100	1980-05-03	5020	A	9.0	A	7.5	A
USGS	09085100	1980-05-04	5290	A
USGS	09085100	1980-05-05	5700	A
USGS	09085100	1980-05-06	6380	A
USGS	09085100	1980-05-07	7100	A
USGS	09085100	1980-05-08	7690	A
USGS	09085100	1980-05-09	7910	A
USGS	09085100	1980-05-10	7690	A
USGS	09085100	1980-05-11	7580	A
USGS	09085100	1980-05-12	7970	A
USGS	09085100	1980-05-13	7460	A	9.5	A	8.0	A
USGS	09085100	1980-05-14	6920	A	9.5	A	8.0	A
USGS	09085100	1980-05-15	6440	A	10.0	A	8.5	A
USGS	09085100	1980-05-16	6340	A	10.5	A	9.0	A
USGS	09085100	1980-05-17	6890	A	10.5	A	9.0	A
USGS	09085100	1980-05-18	6950	A	10.5	A	8.0	A
USGS	09085100	1980-05-19	6750	A	11.5	A	9.0	A
USGS	09085100	1980-05-20	7090	A	12.0	A	10.0	A
USGS	09085100	1980-05-21	7910	A	13.5	A	10.0	A
USGS	09085100	1980-05-22	9450	A	13.5	A	10.5	A
USGS	09085100	1980-05-23	11600	A	13.0	A	10.5	A
USGS	09085100	1980-05-24	12800	A	12.0	A	10.0	A
USGS	09085100	1980-05-25	12000	A	10.0	A	8.0	A
USGS	09085100	1980-05-26	11400	A	10.0	A	7.5	A
USGS	09085100	1980-05-27	10700	A	11.0	A	8.5	A
USGS	09085100	1980-05-28	10500	A	11.5	A	9.0	A
USGS	09085100	1980-05-29	11000	A	11.0	A	9.0	A
USGS	09085100	1980-05-30	10600	A	11.0	A	9.0	A
USGS	09085100	1980-05-31	10900	A	11.0	A	9.0	A
USGS	09085100	1980-06-01	11200	A	10.5	A	9.0	A
USGS	09085100	1980-06-02	11000	A	11.5	A	9.0	A
USGS	09085100	1980-06-03	11100	A	12.5	A	10.0	A
USGS	09085100	1980-06-04	11700	A	12.0	A	10.0	A
USGS	09085100	1980-06-05	12700	A	12.0	A	10.0	A
USGS	09085100	1980-06-06	14100	A	11.5	A	9.5	A
USGS	09085100	1980-06-07	14200	A	12.5	A	9.5	A
USGS	09085100	1980-06-08	14000	A	13.0	A	10.0	A
USGS	09085100	1980-06-09	14600	A	13.5	A	10.0	A
USGS	09085100	1980-06-10	16100	A	13.0	A	10.0	A
USGS	09085100	1980-06-11	17600	A	13.0	A	10.0	A
USGS	09085100	1980-06-12	18200	A	14.0	A	10.5	A
USGS	09085100	1980-06-13	17900	A
USGS	09085100	1980-06-14	17000	A
USGS	09085100	1980-06-15	15700	A
USGS	09085100	1980-06-16	14500	A
USGS	09085100	1980-06-17	14000	A
USGS	09085100	1980-06-18	13600	A
USGS	09085100	1980-06-19	13700	A
USGS	09085100	1980-06-20	13200	A
USGS	09085100	1980-06-21	12600	A
USGS	09085100	1980-06-22	12200	A
USGS	09085100	1980-06-23	11900	A
USGS	09085100	1980-06-24	12000	A
USGS	09085100	1980-06-25	11600	A	15.5	A	12.5	A
USGS	09085100	1980-06-26	11500	A	15.5	A	12.5	A
USGS	09085100	1980-06-27	11400	A	15.5	A	13.0	A
USGS	09085100	1980-06-28	10700	A	15.0	A	12.5	A
USGS	09085100	1980-06-29	9490	A	15.5	A	12.5	A
USGS	09085100	1980-06-30	9140	A	15.5	A	13.5	A
USGS	09085100	1980-07-01	9160	A
USGS	09085100	1980-07-02	9390	A
USGS	09085100	1980-07-03	9330	A	15.5	A	13.5	A
USGS	09085100	1980-07-04	8860	A	15.5	A	13.0	A
USGS	09085100	1980-07-05	8080	A	15.5	A	12.5	A
USGS	09085100	1980-07-06	7270	A	15.5	A	13.0	A
USGS	09085100	1980-07-07	6830	A	15.5	A	14.0	A
USGS	09085100	1980-07-08	6760	A	16.0	A	14.0	A
USGS	09085100	1980-07-09	6610	A	17.0	A	14.0	A
USGS	09085100	1980-07-10	6280	A	17.0	A	15.0	A
USGS	09085100	1980-07-11	6040	A	18.0	A	14.5	A
USGS	09085100	1980-07-12	5900	A	17.5	A	15.5	A
USGS	09085100	1980-07-13	6060	A	17.0	A	14.5	A
USGS	09085100	1980-07-14	5560	A	17.5	A	14.5	A
USGS	09085100	1980-07-15	5260	A	18.0	A	14.5	A
USGS	09085100	1980-07-16	4900	A	18.0	A	14.5	A
USGS	09085100	1980-07-17	4620	A	18.5	A	15.5	A
USGS	09085100	1980-07-18	4370	A	18.5	A	16.0	A
USGS	09085100	1980-07-19	4220	A	18.0	A	16.0	A
USGS	09085100	1980-07-20	4090	A	18.0	A	15.5	A
USGS	09085100	1980-07-21	3880	A	18.0	A	15.0	A
USGS	09085100	1980-07-22	3740	A	16.0	A	14.0	A
USGS	09085100	1980-07-23	3600	A	15.0	A	13.5	A
USGS	09085100	1980-07-24	3560	A	14.0	A	12.5	A
USGS	09085100	1980-07-25	3520	A	14.0	A	12.0	A
USGS	09085100	1980-07-26	3520	A	13.5	A	12.0	A
USGS	09085100	1980-07-27	3400	A	13.5	A	12.5	A
USGS	09085100	1980-07-28	3240	A	13.5	A	12.0	A
USGS	09085100	1980-07-29	3100	A	13.0	A	12.0	A
USGS	09085100	1980-07-30	3040	A	13.5	A	12.0	A
USGS	09085100	1980-07-31	3010	A	15.5	A	12.0	A
USGS	09085100	1980-08-01	2980	A	14.5	A	14.0	A
USGS	09085100	1980-08-02	2920	A	14.5	A	13.5	A
USGS	09085100	1980-08-03	2880	A	14.5	A	14.0	A
USGS	09085100	1980-08-04	2770	A	14.5	A	13.5	A
USGS	09085100	1980-08-05	2690	A	14.5	A	13.5	A
USGS	09085100	1980-08-06	2630	A	14.5	A	14.0	A
USGS	09085100	1980-08-07	2600	A
USGS	09085100	1980-08-08	2550	A
USGS	09085100	1980-08-09	2590	A
USGS	09085100	1980-08-10	2450	A
USGS	09085100	1980-08-11	2360	A
USGS	09085100	1980-08-12	2320	A
USGS	09085100	1980-08-13	2270	A	16.0	A
USGS	09085100	1980-08-14	2410	A	16.0	A	15.5	A
USGS	09085100	1980-08-15	2630	A	16.0	A	15.5	A
USGS	09085100	1980-08-16	2960	A	16.0	A	14.5	A
USGS	09085100	1980-08-17	2870	A	15.0	A	14.0	A
USGS	09085100	1980-08-18	2700	A	15.0	A	14.0	A
USGS	09085100	1980-08-19	2520	A	14.5	A	14.0	A
USGS	09085100	1980-08-20	2380	A	14.5	A	13.5	A
USGS	09085100	1980-08-21	2240	A	14.5	A	13.0	A
USGS	09085100	1980-08-22	2260	A
USGS	09085100	1980-08-23	2310	A
USGS	09085100	1980-08-24	2400	A
USGS	09085100	1980-08-25	2490	A
USGS	09085100	1980-08-26	2590	A
USGS	09085100	1980-08-27	2630	A
USGS	09085100	1980-08-28	2470	A
USGS	09085100	1980-08-29	2360	A	18.0	A	15.5	A
USGS	09085100	1980-08-30	2220	A	16.0	A	14.0	A
USGS	09085100	1980-08-31	2210	A	15.5	A	13.0	A
USGS	09085100	1980-09-01	2210	A	16.0	A	13.0	A
USGS	09085100	1980-09-02	2100	A	17.5	A	13.5	A
USGS	09085100	1980-09-03	1970	A	17.5	A	14.0	A
USGS	09085100	1980-09-04	2070	A	18.0	A	14.0	A
USGS	09085100	1980-09-05	2160	A	18.5	A	14.5	A
USGS	09085100	1980-09-06	2120	A	19.0	A	16.0	A
USGS	09085100	1980-09-07	2000	A	18.0	A	16.0	A
USGS	09085100	1980-09-08	1860	A	17.5	A	15.5	A
USGS	09085100	1980-09-09	2000	A	17.0	A	14.5	A
USGS	09085100	1980-09-10	2270	A	17.0	A	15.0	A
USGS	09085100	1980-09-11	2390	A	16.5	A	14.0	A
USGS	09085100	1980-09-12	2360	A	17.0	A	14.5	A
USGS	09085100	1980-09-13	2370	A	16.0	A	14.0	A
USGS	09085100	1980-09-14	2280	A	16.5	A	13.0	A
USGS	09085100	1980-09-15	2120	A	16.5	A	13.5	A
USGS	09085100	1980-09-16	1950	A	17.0	A	14.0	A
USGS	09085100	1980-09-17	2030	A	16.0	A	13.0	A
USGS	09085100	1980-09-18	1990	A	17.0	A	12.5	A
USGS	09085100	1980-09-19	1960	A	16.0	A	14.0	A
USGS	09085100	1980-09-20	1990	A	17.5	A	14.5	A
USGS	09085100	1980-09-21	2050	A	16.0	A	13.5	A
USGS	09085100	1980-09-22	1930	A	15.5	A	13.0	A
USGS	09085100	1980-09-23	1970	A	14.5	A	11.5	A
USGS	09085100	1980-09-24	2020	A	14.5	A	11.0	A
USGS	09085100	1980-09-25	1880	A	14.5	A	11.0	A
USGS	09085100	1980-09-26	1850	A	15.0	A	11.0	A
USGS	09085100	1980-09-27	1840	A	15.5	A	11.5	A
USGS	09085100	1980-09-28	1850	A	15.5	A	12.0	A
USGS	09085100	1980-09-29	1750	A	15.0	A	12.0	A
USGS	09085100	1980-09-30	1770	A	15.5	A	11.0	A
USGS	09085100	1980-10-01	1810	A	14.5	A	10.0	A
USGS	09085100	1980-10-02	1820	A	15.0	A	6.0	A
USGS	09085100	1980-10-03	1710	A	14.5	A	4.0	A
USGS	09085100	1980-10-04	1720	A	14.0	A	11.0	A
USGS	09085100	1980-10-05	1680	A	14.0	A	11.0	A
USGS	09085100	1980-10-06	1700	A	14.5	A	11.0	A
USGS	09085100	1980-10-07	1700	A	14.5	A	11.0	A
USGS	09085100	1980-10-08	1690	A	14.0	A	11.0	A
USGS	09085100	1980-10-09	1640	A	14.0	A	10.5	A
USGS	09085100	1980-10-10	1670	A	13.5	A	10.5	A
USGS	09085100	1980-10-11	1570	A	12.5	A	10.5	A
USGS	09085100	1980-10-12	1600	A	11.5	A	9.0	A
USGS	09085100	1980-10-13	1670	A	13.0	A	9.5	A
USGS	09085100	1980-10-14	1710	A	11.5	A	11.0	A
USGS	09085100	1980-10-15	1730	A	13.0	A	10.0	A
USGS	09085100	1980-10-16	1790	A	10.0	A	6.5	A
USGS	09085100	1980-10-17	1900	A	8.5	A	7.5	A
USGS	09085100	1980-10-18	1910	A	9.0	A	8.0	A
USGS	09085100	1980-10-19	1930	A	10.0	A	7.5	A
USGS	09085100	1980-10-20	1950	A	10.0	A	7.5	A
USGS	09085100	1980-10-21	1980	A	10.0	A	7.5	A
USGS	09085100	1980-10-22	2010	A	9.5	A	7.5	A
USGS	09085100	1980-10-23	1990	A	8.5	A	7.0	A
USGS	09085100	1980-10-24	1920	A	7.5	A	5.5	A
USGS	09085100	1980-10-25	1880	A	7.5	A	5.0	A
USGS	09085100	1980-10-26	1870	A	7.0	A	5.5	A
USGS	09085100	1980-10-27	1960	A	7.0	A	6.0	A
USGS	09085100	1980-10-28	1970	A	6.5	A	5.5	A
USGS	09085100	1980-10-29	1870	A	6.5	A	4.5	A
USGS	09085100	1980-10-30	1850	A	7.0	A	4.5	A
USGS	09085100	1980-10-31	1860	A	7.0	A	5.0	A
USGS	09085100	1980-11-01	1890	A	7.5	A	5.0	A
USGS	09085100	1980-11-02	1880	A	7.5	A	5.5	A
USGS	09085100	1980-11-03	1870	A	7.5	A	5.5	A
USGS	09085100	1980-11-04	1830	A	9.0	A	6.5	A
USGS	09085100	1980-11-05	1860	A	8.5	A	7.0	A
USGS	09085100	1980-11-06	1840	A	8.5	A	6.5	A
USGS	09085100	1980-11-07	1820	A	8.5	A	7.0	A
USGS	09085100	1980-11-08	1820	A	9.0	A	7.0	A
USGS	09085100	1980-11-09	1820	A	9.0	A	7.0	A
USGS	09085100	1980-11-10	1810	A	8.5	A	6.5	A
USGS	09085100	1980-11-11	1830	A	7.5	A	6.5	A
USGS	09085100	1980-11-12	1770	A	8.5	A	7.0	A
USGS	09085100	1980-11-13	1930	A	8.0	A	7.0	A
USGS	09085100	1980-11-14	2000	A	7.5	A	5.0	A
USGS	09085100	1980-11-15	1920	A	5.0	A	3.5	A
USGS	09085100	1980-11-16	1670	A	3.5	A	2.5	A
USGS	09085100	1980-11-17	1570	A	2.0	A	0.0	A
USGS	09085100	1980-11-18	1480	A
USGS	09085100	1980-11-19	1430	A
USGS	09085100	1980-11-20	1600	A
USGS	09085100	1980-11-21	1580	A	3.0	A	0.0	A
USGS	09085100	1980-11-22	1600	A
USGS	09085100	1980-11-23	1750	A	3.0	A	0.0	A
USGS	09085100	1980-11-24	1720	A	3.5	A	2.0	A
USGS	09085100	1980-11-25	1720	A	3.0	A	2.5	A
USGS	09085100	1980-11-26	1680	A	3.0	A	2.0	A
USGS	09085100	1980-11-27	1580	A	2.0	A	1.0	A
USGS	09085100	1980-11-28	1640	A	3.0	A	1.0	A
USGS	09085100	1980-11-29	1680	A	3.0	A	2.0	A
USGS	09085100	1980-11-30	1720	A	3.5	A	2.5	A
USGS	09085100	1980-12-01	1710	A	4.0	A	3.0	A
USGS	09085100	1980-12-02	1680	A	4.0	A	3.0	A
USGS	09085100	1980-12-03	1650	A	5.0	A	3.5	A
USGS	09085100	1980-12-04	1670	A	5.0	A	4.0	A
USGS	09085100	1980-12-05	1680	A	5.0	A	4.5	A
USGS	09085100	1980-12-06	1710	A	5.0	A	4.5	A
USGS	09085100	1980-12-07	1710	A	5.0	A	4.5	A
USGS	09085100	1980-12-08	1670	A	5.0	A	4.5	A
USGS	09085100	1980-12-09	1610	A	4.5	A	3.0	A
USGS	09085100	1980-12-10	1440	A	2.5	A	0.0	A
USGS	09085100	1980-12-11	1390	A	2.5	A	0.0	A
USGS	09085100	1980-12-12	1490	A	2.5	A	0.5	A
USGS	09085100	1980-12-13	1480	A	2.5	A	0.5	A
USGS	09085100	1980-12-14	1410	A	2.0	A	0.5	A
USGS	09085100	1980-12-15	1450	A	2.5	A	1.0	A
USGS	09085100	1980-12-16	1500	A	2.0	A	0.0	A
USGS	09085100	1980-12-17	1520	A	2.0	A	1.0	A
USGS	09085100	1980-12-18	1530	A	3.0	A	2.0	A
USGS	09085100	1980-12-19	1570	A	3.5	A	2.0	A
USGS	09085100	1980-12-20	1540	A	3.5	A	2.5	A
USGS	09085100	1980-12-21	1540	A	4.0	A	2.5	A
USGS	09085100	1980-12-22	1550	A	4.0	A	3.0	A
USGS	09085100	1980-12-23	1600	A	4.5	A	3.0	A
USGS	09085100	1980-12-24	1490	A	3.5	A	2.5	A
USGS	09085100	1980-12-25	1570	A	4.0	A	2.5	A
USGS	09085100	1980-12-26	1530	A	4.5	A	4.0	A
USGS	09085100	1980-12-27	1530	A	4.5	A	3.5	A
USGS	09085100	1980-12-28	1520	A	4.5	A	3.0	A
USGS	09085100	1980-12-29	1510	A	4.0	A	2.5	A
USGS	09085100	1980-12-30	1390	A	3.0	A	2.0	A
USGS	09085100	1980-12-31	1440	A	3.0	A	2.0	A
USGS	09085100	1981-01-01	1420	A	4.0	A	2.0	A
USGS	09085100	1981-01-02	1440	A	3.5	A	2.0	A
USGS	09085100	1981-01-03	1440	A	3.5	A	2.5	A
USGS	09085100	1981-01-04	1400	A	3.5	A	2.5	A
USGS	09085100	1981-01-05	1480	A	3.0	A	2.5	A
USGS	09085100	1981-01-06	1350	A	4.0	A	2.5	A
USGS	09085100	1981-01-07	1310	A	3.0	A	2.0	A
USGS	09085100	1981-01-08	1240	A	2.5	A	2.0	A
USGS	09085100	1981-01-09	1220	A	2.5	A	2.0	A
USGS	09085100	1981-01-10	1220	A	2.5	A	2.0	A
USGS	09085100	1981-01-11	1190	A	2.5	A	2.0	A
USGS	09085100	1981-01-12	1140	A	2.5	A	2.0	A
USGS	09085100	1981-01-13	1090	A	2.5	A	2.0	A
USGS	09085100	1981-01-14	1090	A	2.5	A	2.0	A
USGS	09085100	1981-01-15	1150	A	2.5	A	2.0	A
USGS	09085100	1981-01-16	1210	A	3.0	A	2.0	A
USGS	09085100	1981-01-17	1280	A	4.0	A	2.5	A
USGS	09085100	1981-01-18	1190	A	3.0	A	2.0	A
USGS	09085100	1981-01-19	1160	A	3.0	A	2.0	A
USGS	09085100	1981-01-20	1080	A	3.5	A	2.0	A
USGS	09085100	1981-01-21	1070	A	3.0	A	2.0	A
USGS	09085100	1981-01-22	1040	A	1.5	A	0.0	A
USGS	09085100	1981-01-23	1060	A	1.5	A	0.0	A
USGS	09085100	1981-01-24	1070	A	1.5	A	0.5	A
USGS	09085100	1981-01-25	1120	A	2.5	A	0.5	A
USGS	09085100	1981-01-26	1060	A	1.5	A	0.0	A
USGS	09085100	1981-01-27	1050	A	2.0	A	0.5	A
USGS	09085100	1981-01-28	1100	A	3.0	A	1.5	A
USGS	09085100	1981-01-29	1130	A	3.5	A	2.0	A
USGS	09085100	1981-01-30	1100	A	2.5	A	1.0	A
USGS	09085100	1981-01-31	1060	A	2.0	A	1.0	A
USGS	09085100	1981-02-01	1040	A	2.0	A	0.5	A
USGS	09085100	1981-02-02	966	A	2.5	A	0.0	A
USGS	09085100	1981-02-03	977	A	1.5	A	0.0	A
USGS	09085100	1981-02-04	1030	A	2.0	A	0.0	A
USGS	09085100	1981-02-05	1000	A	2.0	A	0.0	A
USGS	09085100	1981-02-06	1010	A	2.0	A	0.5	A
USGS	09085100	1981-02-07	999	A	2.0	A	0.0	A
USGS	09085100	1981-02-08	982	A	2.5	A	0.0	A
USGS	09085100	1981-02-09	1020	A	2.5	A	1.0	A
USGS	09085100	1981-02-10	1050	A	1.5	A	0.0	A
USGS	09085100	1981-02-11	870	A
USGS	09085100	1981-02-12	983	A	2.0	A	0.0	A
USGS	09085100	1981-02-13	1040	A	3.0	A	0.0	A
USGS	09085100	1981-02-14	1050	A	2.4	A	0.3	A
USGS	09085100	1981-02-15	1060	A	3.7	A	1.4	A
USGS	09085100	1981-02-16	1070	A	3.9	A	2.3	A
USGS	09085100	1981-02-17	1050	A	3.3	A	2.3	A
USGS	09085100	1981-02-18	1040	A	4.1	A	2.3	A
USGS	09085100	1981-02-19	1040	A	4.6	A	2.2	A
USGS	09085100	1981-02-20	1050	A	4.5	A	3.5	A
USGS	09085100	1981-02-21	1040	A
USGS	09085100	1981-02-22	1010	A
USGS	09085100	1981-02-23	1030	A
USGS	09085100	1981-02-24	1040	A
USGS	09085100	1981-02-25	1040	A
USGS	09085100	1981-02-26	1070	A
USGS	09085100	1981-02-27	1050	A
USGS	09085100	1981-02-28	1040	A
USGS	09085100	1981-03-01	1030	A
USGS	09085100	1981-03-02	1040	A
USGS	09085100	1981-03-03	1050	A
USGS	09085100	1981-03-04	1060	A
USGS	09085100	1981-03-05	1040	A
USGS	09085100	1981-03-06	1030	A	6.0	A	4.5	A
USGS	09085100	1981-03-07	1020	A	5.1	A	3.5	A
USGS	09085100	1981-03-08	1030	A	12.1	A	3.8	A
USGS	09085100	1981-03-09	1020	A	12.1	A	3.9	A
USGS	09085100	1981-03-10	1030	A	12.3	A	4.1	A
USGS	09085100	1981-03-11	1020	A	13.3	A	4.5	A
USGS	09085100	1981-03-12	1030	A	7.0	A	4.6	A
